Species	Sex	N	Age	Weight	Variance	Reference
ACP 9935/Cr	female	20	1	0.0051	2.25e-8	Poiley, 1972
ACP 9935/Cr	female	21	7	0.0103	8.56e-7	Poiley, 1972
ACP 9935/Cr	female	23	14	0.0199	3.61e-6	Poiley, 1972
ACP 9935/Cr	female	31	21	0.033	3.9e-6	Poiley, 1972
ACP 9935/Cr	female	31	28	0.0446	1.62e-5	Poiley, 1972
ACP 9935/Cr	female	24	42	0.0877	1.4e-4	Poiley, 1972
ACP 9935/Cr	female	25	56	0.1249	2.22e-4	Poiley, 1972
ACP 9935/Cr	female	21	70	0.1378	1.24e-4	Poiley, 1972
ACP 9935/Cr	female	27	84	0.1638	1.37e-4	Poiley, 1972
ACP 9935/Cr	female	21	112	0.1812	1.76e-4	Poiley, 1972
ACP 9935/Cr	female	24	140	0.2133	2.69e-4	Poiley, 1972
ACP 9935/Cr	female	21	168	0.2531	2.12e-4	Poiley, 1972
ACP 9935/Cr	male	20	1	0.0052	1.56e-8	Poiley, 1972
ACP 9935/Cr	male	24	7	0.0119	1.1e-6	Poiley, 1972
ACP 9935/Cr	male	26	14	0.0212	4.62e-6	Poiley, 1972
ACP 9935/Cr	male	20	21	0.0341	3.61e-6	Poiley, 1972
ACP 9935/Cr	male	32	28	0.0464	2.92e-5	Poiley, 1972
ACP 9935/Cr	male	24	42	0.091	7.92e-5	Poiley, 1972
ACP 9935/Cr	male	25	56	0.1279	1.81e-4	Poiley, 1972
ACP 9935/Cr	male	23	70	0.188	3.11e-4	Poiley, 1972
ACP 9935/Cr	male	21	84	0.2307	4e-4	Poiley, 1972
ACP 9935/Cr	male	26	112	0.2587	1.4e-4	Poiley, 1972
ACP 9935/Cr	male	27	140	0.2881	1.7e-4	Poiley, 1972
ACP 9935/Cr	male	25	168	0.3097	2.34e-4	Poiley, 1972
ACP 9935/Cr	female	28	1	0.0053	2.5e-9	Poiley, 1972
ACP 9935/Cr	female	28	7	0.0093	3.03e-7	Poiley, 1972
ACP 9935/Cr	female	28	14	0.0218	8.1e-7	Poiley, 1972
ACP 9935/Cr	female	28	21	0.0342	1.63e-6	Poiley, 1972
ACP 9935/Cr	female	28	28	0.0483	2.26e-7	Poiley, 1972
ACP 9935/Cr	female	28	42	0.0918	1.85e-5	Poiley, 1972
ACP 9935/Cr	female	28	56	0.1273	1.11e-4	Poiley, 1972
ACP 9935/Cr	female	28	70	0.1439	7.92e-5	Poiley, 1972
ACP 9935/Cr	female	28	84	0.1653	7.98e-6	Poiley, 1972
ACP 9935/Cr	female	27	112	0.1911	5.44e-5	Poiley, 1972
ACP 9935/Cr	female	27	140	0.209	5.85e-5	Poiley, 1972
ACP 9935/Cr	female	27	168	0.2483	9.03e-5	Poiley, 1972
ACP 9935/Cr	male	32	1	0.0054	6.25e-10	Poiley, 1972
ACP 9935/Cr	male	32	7	0.0107	5.26e-7	Poiley, 1972
ACP 9935/Cr	male	32	14	0.0235	1.41e-7	Poiley, 1972
ACP 9935/Cr	male	32	21	0.0357	1.1e-6	Poiley, 1972
ACP 9935/Cr	male	32	28	0.0493	6.01e-7	Poiley, 1972
ACP 9935/Cr	male	32	42	0.0951	5.04e-5	Poiley, 1972
AC1 9935/Cr	male	32	56	0.1307	1.13e-4	Poiley, 1972
AC1 9935/Cr	male	31	70	0.1959	4.61e-4	Poiley, 1972
AC1 9935/Cr	male	31	84	0.2338	4.68e-4	Poiley, 1972
AC1 9935/Cr	male	29	112	0.2671	3.75e-5	Poiley, 1972
AC1 9935/Cr	male	29	140	0.2892	2.3e-5	Poiley, 1972
AC1 9935/Cr	male	29	168	0.3088	8.06e-5	Poiley, 1972
ALBANY/Cr	female	35	1	0.0071	1.6e-7	Poiley, 1972
ALBANY/Cr	female	35	7	0.018	2.26e-7	Poiley, 1972
ALBANY/Cr	female	35	14	0.0303	1.96e-6	Poiley, 1972
ALBANY/Cr	female	35	21	0.0535	2.53e-5	Poiley, 1972
ALBANY/Cr	female	25	28	0.0798	4.36e-5	Poiley, 1972
ALBANY/Cr	female	31	42	0.1214	7.29e-6	Poiley, 1972
ALBANY/Cr	female	45	56	0.1726	2.06e-4	Poiley, 1972
ALBANY/Cr	female	36	70	0.2093	2.73e-4	Poiley, 1972
ALBANY/Cr	female	29	84	0.2413	1.93e-4	Poiley, 1972
ALBANY/Cr	female	36	112	0.2468	1.33e-4	Poiley, 1972
ALBANY/Cr	female	31	140	0.2574	7.27e-5	Poiley, 1972
ALBANY/Cr	female	28	168	0.2642	6.32e-5	Poiley, 1972
ALBANY/Cr	male	35	1	0.0072	9e-8	Poiley, 1972
ALBANY/Cr	male	35	7	0.0191	1.41e-7	Poiley, 1972
ALBANY/Cr	male	35	14	0.0327	2.25e-6	Poiley, 1972
ALBANY/Cr	male	35	21	0.0553	2.05e-5	Poiley, 1972
ALBANY/Cr	male	35	28	0.0816	5.04e-5	Poiley, 1972
ALBANY/Cr	male	28	42	0.158	8.88e-5	Poiley, 1972
ALBANY/Cr	male	25	56	0.1968	1.43e-4	Poiley, 1972
ALBANY/Cr	male	35	70	0.2695	3.14e-4	Poiley, 1972
ALBANY/Cr	male	37	84	0.332	1.89e-4	Poiley, 1972
ALBANY/Cr	male	43	112	0.3598	1.29e-4	Poiley, 1972
ALBANY/Cr	male	29	140	0.3857	1.08e-4	Poiley, 1972
ALBANY/Cr	male	32	168	0.3969	7.61e-5	Poiley, 1972
August 28807/Cr	female	34	1	0.0059	5.26e-7	Poiley, 1972
August 28807/Cr	female	37	7	0.0125	6.38e-6	Poiley, 1972
August 28807/Cr	female	43	14	0.027	1.04e-5	Poiley, 1972
August 28807/Cr	female	32	21	0.0404	2.86e-5	Poiley, 1972
August 28807/Cr	female	31	28	0.0639	7.92e-5	Poiley, 1972
August 28807/Cr	female	28	42	0.112	9.65e-5	Poiley, 1972
August 28807/Cr	female	28	56	0.1289	2.68e-5	Poiley, 1972
August 28807/Cr	female	24	70	0.1512	1.07e-4	Poiley, 1972
August 28807/Cr	female	26	84	0.1628	6.4e-5	Poiley, 1972
August 28807/Cr	female	28	112	0.188	5.85e-5	Poiley, 1972
August 28807/Cr	female	24	140	0.1986	3.6e-5	Poiley, 1972
August 28807/Cr	female	28	168	0.2068	6.05e-5	Poiley, 1972
August 28807/Cr	female	25	196	0.2282	5.11e-5	Poiley, 1972
August 28807/Cr	male	35	1	0.0061	4.9e-7	Poiley, 1972
August 28807/Cr	male	33	7	0.0138	4.52e-6	Poiley, 1972
August 28807/Cr	male	32	14	0.0286	1.5e-5	Poiley, 1972
August 28807/Cr	male	32	21	0.0426	2.92e-5	Poiley, 1972
August 28807/Cr	male	25	28	0.0677	4.69e-5	Poiley, 1972
August 28807/Cr	male	27	42	0.1326	1.19e-4	Poiley, 1972
August 28807/Cr	male	28	56	0.1915	1.3e-4	Poiley, 1972
August 28807/Cr	male	25	70	0.2365	2.89e-4	Poiley, 1972
August 28807/Cr	male	24	84	0.2654	4.31e-4	Poiley, 1972
August 28807/Cr	male	22	112	0.3004	2.66e-4	Poiley, 1972
August 28807/Cr	male	27	140	0.3262	1.58e-4	Poiley, 1972
August 28807/Cr	male	23	168	0.3401	2.19e-4	Poiley, 1972
August 28807/Cr	male	25	196	0.3644	2.73e-5	Poiley, 1972
Bald	female	8	30	0.05	NA	Inazu et al., 1984
Bald	female	8	91	0.22	NA	Inazu et al., 1984
Bald	female	8	183	0.26	NA	Inazu et al., 1984
Bald	female	8	365	0.28	NA	Inazu et al., 1984
Bald	male	8	30	0.06	NA	Inazu et al., 1984
Bald	male	8	91	0.29	NA	Inazu et al., 1984
Bald	male	8	183	0.31	NA	Inazu et al., 1984
Bald	male	8	365	0.39	NA	Inazu et al., 1984
BHE	female	27	50	0.169	3.6e-5	NAS, 1971
BHE	female	38	100	0.24	2.5e-5	NAS, 1971
BHE	female	45	300	0.319	2.5e-5	NAS, 1971
BHE	male	29	50	0.232	3.6e-5	NAS, 1971
BHE	male	37	100	0.364	2.5e-5	NAS, 1971
BHE	male	45	300	0.499	2.5e-5	NAS, 1971
Black	female	1	1	0.004	NA	Worden, 1947
Black	female	1	3	0.006	NA	Worden, 1947
Black	female	1	5	0.008	NA	Worden, 1947
Black	female	1	7	0.009	NA	Worden, 1947
Black	female	1	9	0.011	NA	Worden, 1947
Black	female	1	11	0.012	NA	Worden, 1947
Black	female	1	13	0.013	NA	Worden, 1947
Black	female	1	15	0.015	NA	Worden, 1947
Black	female	1	17	0.017	NA	Worden, 1947
Black	female	1	19	0.02	NA	Worden, 1947
Black	female	1	21	0.023	NA	Worden, 1947
Black	female	1	23	0.026	NA	Worden, 1947
Black	female	1	25	0.028	NA	Worden, 1947
Black	female	1	27	0.03	NA	Worden, 1947
Black	female	1	29	0.031	NA	Worden, 1947
Black	female	1	31	0.033	NA	Worden, 1947
Black	female	1	33	0.036	NA	Worden, 1947
Black	female	1	35	0.037	NA	Worden, 1947
Black	female	1	65	0.108	NA	Worden, 1947
Black	female	1	96	0.17	NA	Worden, 1947
Black	female	1	126	0.19	NA	Worden, 1947
Black	female	1	157	0.196	NA	Worden, 1947
Black	female	1	188	0.193	NA	Worden, 1947
Black	female	1	247	0.193	NA	Worden, 1947
Black	female	1	308	0.197	NA	Worden, 1947
Black	female	1	338	0.197	NA	Worden, 1947
Black	female	1	369	0.197	NA	Worden, 1947
Black	male	1	1	0.005	NA	Worden, 1947
Black	male	1	3	0.007	NA	Worden, 1947
Black	male	1	5	0.009	NA	Worden, 1947
Black	male	1	7	0.011	NA	Worden, 1947
Black	male	1	9	0.014	NA	Worden, 1947
Black	male	1	11	0.018	NA	Worden, 1947
Black	male	1	13	0.02	NA	Worden, 1947
Black	male	1	15	0.022	NA	Worden, 1947
Black	male	1	17	0.023	NA	Worden, 1947
Black	male	1	19	0.025	NA	Worden, 1947
Black	male	1	21	0.026	NA	Worden, 1947
Black	male	1	23	0.028	NA	Worden, 1947
Black	male	1	25	0.029	NA	Worden, 1947
Black	male	1	27	0.031	NA	Worden, 1947
Black	male	1	29	0.033	NA	Worden, 1947
Black	male	1	31	0.036	NA	Worden, 1947
Black	male	1	33	0.04	NA	Worden, 1947
Black	male	1	65	0.12	NA	Worden, 1947
Black	male	1	96	0.19	NA	Worden, 1947
Black	male	1	126	0.201	NA	Worden, 1947
Black	male	1	157	0.208	NA	Worden, 1947
Black	male	1	188	0.202	NA	Worden, 1947
Black	male	1	216	0.2	NA	Worden, 1947
Black	male	1	247	0.204	NA	Worden, 1947
Black	male	1	369	0.211	NA	Worden, 1947
BN/Cr	female	29	1	0.0061	5.63e-7	Poiley, 1972
BN/Cr	female	27	7	0.0128	6.25e-6	Poiley, 1972
BN/Cr	female	26	14	0.028	1.81e-5	Poiley, 1972
BN/Cr	female	27	21	0.0437	3.16e-5	Poiley, 1972
BN/Cr	female	45	28	0.062	5.26e-5	Poiley, 1972
BN/Cr	female	29	42	0.0968	5.81e-5	Poiley, 1972
BN/Cr	female	34	56	0.1286	9.02e-5	Poiley, 1972
BN/Cr	female	29	70	0.1521	1.32e-4	Poiley, 1972
BN/Cr	female	35	84	0.1673	6.81e-5	Poiley, 1972
BN/Cr	female	25	112	0.1791	9.03e-5	Poiley, 1972
BN/Cr	female	24	140	0.1876	1.38e-4	Poiley, 1972
BN/Cr	female	24	168	0.2068	1.16e-4	Poiley, 1972
BN/Cr	male	30	1	0.0062	5.63e-7	Poiley, 1972
BN/Cr	male	29	7	0.0139	6.89e-6	Poiley, 1972
BN/Cr	male	27	14	0.029	2.14e-5	Poiley, 1972
BN/Cr	male	25	21	0.0448	3.02e-5	Poiley, 1972
BN/Cr	male	43	28	0.0673	1.16e-4	Poiley, 1972
BN/Cr	male	29	42	0.1242	1.63e-4	Poiley, 1972
BN/Cr	male	38	56	0.1934	1.35e-4	Poiley, 1972
BN/Cr	male	34	70	0.2474	6.89e-4	Poiley, 1972
BN/Cr	male	33	84	0.2644	5.18e-4	Poiley, 1972
BN/Cr	male	26	112	0.304	5.29e-4	Poiley, 1972
BN/Cr	male	25	140	0.3217	2.1e-4	Poiley, 1972
BN/Cr	male	25	168	0.3411	4.1e-4	Poiley, 1972
BUFFALO/Cr	female	35	1	0.0055	1.56e-8	Poiley, 1972
BUFFALO/Cr	female	35	7	0.0121	1.06e-7	Poiley, 1972
BUFFALO/Cr	female	35	14	0.0224	5.88e-6	Poiley, 1972
BUFFALO/Cr	female	35	21	0.0278	8.41e-6	Poiley, 1972
BUFFALO/Cr	female	35	28	0.0594	6.12e-5	Poiley, 1972
BUFFALO/Cr	female	29	42	0.1197	8.51e-5	Poiley, 1972
BUFFALO/Cr	female	28	56	0.152	1.51e-4	Poiley, 1972
BUFFALO/Cr	female	36	70	0.1786	2.12e-4	Poiley, 1972
BUFFALO/Cr	female	39	84	0.2269	1.54e-4	Poiley, 1972
BUFFALO/Cr	female	38	112	0.2377	1.4e-4	Poiley, 1972
BUFFALO/Cr	female	32	140	0.2464	1.61e-4	Poiley, 1972
BUFFALO/Cr	female	35	168	0.2521	1.36e-4	Poiley, 1972
BUFFALO/Cr	male	35	1	0.0064	1.56e-8	Poiley, 1972
BUFFALO/Cr	male	35	7	0.0133	9e-8	Poiley, 1972
BUFFALO/Cr	male	35	14	0.0262	3.61e-6	Poiley, 1972
BUFFALO/Cr	male	35	21	0.0448	3.57e-5	Poiley, 1972
BUFFALO/Cr	male	35	28	0.0743	6.89e-5	Poiley, 1972
BUFFALO/Cr	male	24	42	0.1394	5.08e-5	Poiley, 1972
BUFFALO/Cr	male	22	56	0.1917	1.54e-4	Poiley, 1972
BUFFALO/Cr	male	30	70	0.2531	1.63e-4	Poiley, 1972
BUFFALO/Cr	male	26	84	0.3289	4.3e-4	Poiley, 1972
BUFFALO/Cr	male	31	112	0.3338	2.21e-4	Poiley, 1972
BUFFALO/Cr	male	30	140	0.3744	3.62e-4	Poiley, 1972
BUFFALO/Cr	male	30	168	0.3886	2.72e-4	Poiley, 1972
Copenhagen/Cr	female	25	1	0.0057	5.62e-9	Poiley, 1972
Copenhagen/Cr	female	25	7	0.0129	8.56e-7	Poiley, 1972
Copenhagen/Cr	female	25	14	0.0244	6.81e-7	Poiley, 1972
Copenhagen/Cr	female	25	21	0.0266	4.52e-6	Poiley, 1972
Copenhagen/Cr	female	25	28	0.0485	2.48e-5	Poiley, 1972
Copenhagen/Cr	female	25	42	0.0945	1.06e-4	Poiley, 1972
Copenhagen/Cr	female	26	56	0.1594	8.6e-5	Poiley, 1972
Copenhagen/Cr	female	27	70	0.1789	5.08e-5	Poiley, 1972
Copenhagen/Cr	female	28	84	0.1857	4.94e-5	Poiley, 1972
Copenhagen/Cr	female	25	112	0.1998	7.48e-5	Poiley, 1972
Copenhagen/Cr	female	24	140	0.2266	1.62e-4	Poiley, 1972
Copenhagen/Cr	female	26	168	0.2333	9.26e-5	Poiley, 1972
Copenhagen/Cr	male	25	1	0.0058	5.62e-9	Poiley, 1972
Copenhagen/Cr	male	25	7	0.0141	1.05e-6	Poiley, 1972
Copenhagen/Cr	male	25	14	0.0272	1.38e-6	Poiley, 1972
Copenhagen/Cr	male	25	21	0.0307	3.52e-6	Poiley, 1972
Copenhagen/Cr	male	25	28	0.055	1.14e-5	Poiley, 1972
Copenhagen/Cr	male	25	42	0.1047	8.1e-5	Poiley, 1972
Copenhagen/Cr	male	24	56	0.2038	1.7e-4	Poiley, 1972
Copenhagen/Cr	male	25	70	0.24	1.4e-4	Poiley, 1972
Copenhagen/Cr	male	26	84	0.2696	2.14e-5	Poiley, 1972
Copenhagen/Cr	male	27	112	0.283	1.18e-4	Poiley, 1972
Copenhagen/Cr	male	31	140	0.31	1.36e-4	Poiley, 1972
Copenhagen/Cr	male	26	168	0.3346	7.01e-5	Poiley, 1972
Cpb:WU	male	1	365	0.628	NA	Haas et al., 1985
Cpb:WU	male	1	456	0.656	NA	Haas et al., 1985
Cpb:WU	male	1	456	0.656	NA	Haas et al., 1985
Cr:MGAPS(OM)	female	21	1	0.0058	2.76e-7	Poiley, 1972
Cr:MGAPS(OM)	female	21	7	0.0109	1.56e-6	Poiley, 1972
Cr:MGAPS(OM)	female	21	14	0.0332	1.23e-5	Poiley, 1972
Cr:MGAPS(OM)	female	21	21	0.0484	3.75e-5	Poiley, 1972
Cr:MGAPS(OM)	female	21	28	0.0639	4.26e-5	Poiley, 1972
Cr:MGAPS(OM)	female	20	42	0.1137	2.63e-5	Poiley, 1972
Cr:MGAPS(OM)	female	20	56	0.1752	2.72e-4	Poiley, 1972
Cr:MGAPS(OM)	female	20	70	0.2155	5.12e-4	Poiley, 1972
Cr:MGAPS(OM)	female	20	84	0.258	4.36e-4	Poiley, 1972
Cr:MGAPS(OM)	female	20	112	0.2838	3.95e-4	Poiley, 1972
